"PROBEID","SYMBOL","GENENAME","UNIPROT"
"11239-49","TMPRSS6","transmembrane serine protease 6","B0QYB4"
"11241-8","ASL","argininosuccinate lyase","A0A024RDL8"
"11242-33","TGM1","transglutaminase 1","A8K5N5"
"11243-90","ADGRF1","adhesion G protein-coupled receptor F1","Q3SXM8"
"11245-43","FLNA","filamin A","E9KL45"
"11246-3","BPIFB1","BPI fold containing family B member 1","A8K2H8"
"11247-20","NAGS","N-acetylglutamate synthase","B2RAZ9"
"11248-43","UROS","uroporphyrinogen III synthase","A0A0S2Z4T8"
"11252-30","LRCH4","leucine rich repeats and calponin homology domain containing 4","H7C5D9"
"11254-13","PAPLN","papilin, proteoglycan like sulfated glycoprotein","B4DES8"
"11257-1","QDPR","quinoid dihydropteridine reductase","A0A140VKA9"
"11258-41","MADCAM1","mucosal vascular addressin cell adhesion molecule 1","A5PKV4"
"11260-47","SUN5","Sad1 and UNC84 domain containing 5","A0A384MDU5"
"11262-39","TRABD","TraB domain containing","Q9H4I3"
"11263-57","CASQ1","calsequestrin 1","B1AKZ2"
"11264-33","XDH","xanthine dehydrogenase","A0AA96C912"
"11265-8","ALDH1A1","aldehyde dehydrogenase 1 family member A1","O00768"
"11266-8","SELPLG","selectin P ligand","A0A0C4DFY0"
"11270-17","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10","B5MBW9"
"11273-176","GSTT2B","glutathione S-transferase theta 2B","B2R533"
"11275-94","LRP1B","LDL receptor related protein 1B","Q8WY29"
"11277-23","ATF6","activating transcription factor 6","A0A7P0TAF2"
"11278-4","COL11A2","collagen type XI alpha 2 chain","A0A140T9A1"
"11279-42","GABBR1","gamma-aminobutyric acid type B receptor subunit 1","Q59HG8"
"11280-6","GAD1","glutamate decarboxylase 1","A0A0S2Z3V5"
"11281-6","GRB7","growth factor receptor bound protein 7","A0A0S2Z4F6"
"11282-16","MSR1","macrophage scavenger receptor 1","B4DDJ5"
"11283-13","DCAF5","DDB1 and CUL4 associated factor 5","Q96JK2"
"11284-24","LAIR1","leukocyte associated immunoglobulin like receptor 1","A0A0G2JP18"
"11285-8","CD34","CD34 molecule","A8K664"
"11286-78","SELENOS","selenoprotein S","A0A182DWI4"
"11287-14","CYB5A","cytochrome b5 type A","P00167"
"11288-26","NT5C2","5'-nucleotidase, cytosolic II","A0A384MED8"
"11289-31","CSNK1D","casein kinase 1 delta","B4E0G1"
"11291-73",NA,NA,NA
"11292-13","SCARA3","scavenger receptor class A member 3","Q6AZY7"
"11293-14","LRRN1","leucine rich repeat neuronal 1","A8K6Q2"
"11294-7","TMCC3","transmembrane and coiled-coil domain family 3","G3V207"
"11297-54","NOTCH2","notch receptor 2","Q04721"
"11300-32","SORT1","sortilin 1","A8KAQ3"
"11302-237","TNR","tenascin R","A0AAQ5BHB2"
"11303-7","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1","A0A2R8YCS7"
"11307-33","WWP1","WW domain containing E3 ubiquitin protein ligase 1","A8K9T5"
"11308-8","CREB3L4","cAMP responsive element binding protein 3 like 4","D3DV62"
"11310-8","DSG3","desmoglein 3","A8K2V2"
"11311-79","RAG1","recombination activating 1","A0A6F7R719"
"11312-40","PMS2","PMS1 homolog 2, mismatch repair system component","A0A8V8TP72"
"11313-100","PCBD1","pterin-4 alpha-carbinolamine dehydratase 1","P61457"
"11315-148","PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D","A0A0S2Z4M2"
"11318-20","APOA5","apolipoprotein A5","A0A0B4RUS7"
"11319-106","MRE11","MRE11 homolog, double strand break repair nuclease","F8W7U8"
"11320-29","CHFR","checkpoint with forkhead and ring finger domains","A6NEN5"
"11324-3","PXDNL","peroxidasin like","A0A059U7G5"
"11325-8","BTG2","BTG anti-proliferation factor 2","A0A024R986"
"11327-56","CLK2","CDC like kinase 2","A8K7I0"
"11328-9","USB1","U6 snRNA biogenesis phosphodiesterase 1","H3BTT8"
"11330-15","CSNK2B","casein kinase 2 beta","A0A1U9X7J2"
"11333-82","ARHGAP25","Rho GTPase activating protein 25","A0A2X0TVS2"
"11334-7","LILRB3","leukocyte immunoglobulin like receptor B3","F8W6G6"
"11336-9","FANCF","FA complementation group F","A3KME0"
"11338-49","BLK","BLK proto-oncogene, Src family tyrosine kinase","P51451"
"11342-59","PLXDC2","plexin domain containing 2","B4E367"
"11347-9","TALDO1","transaldolase 1","A0A140VK56"
"11348-132","P4HA2","prolyl 4-hydroxylase subunit alpha 2","Q5HYD8"
"11350-30","STUB1","STIP1 homology and U-box containing protein 1","Q9UNE7"
"11351-233","NHEJ1","non-homologous end joining factor 1","B8ZZA4"
"11352-42","TTN","titin","A6NKB1"
"11353-143","SMAD2","SMAD family member 2","A0AAQ5BHK2"
"11354-21","PLCB1","phospholipase C beta 1","A0A1B0GWB6"
"11355-10","EIF5A2","eukaryotic translation initiation factor 5A2","B2R4V5"
"11356-19","ESS2","ess-2 splicing factor homolog","Q49AH7"
"11358-15","GRB10","growth factor receptor bound protein 10","Q13322"
"11360-39","RRM1","ribonucleotide reductase catalytic subunit M1","P23921"
"11361-73","TYMP","thymidine phosphorylase","A8MW15"
"11363-58","AQP4","aquaporin 4","A0A5F9ZHR4"
"11364-18","MFN1","mitofusin 1","A0A0C4DFN1"
"11365-17","TENM4","teneurin transmembrane protein 4","A6ND26"
"11368-32","AK2","adenylate kinase 2","P54819"
"11369-23","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","A0A024RDI2"
"11370-20","INPP5E","inositol polyphosphate-5-phosphatase E","Q9NRR6"
"11371-1","GPR101","G protein-coupled receptor 101","Q5JSM8"
"11372-2","ZNF18","zinc finger protein 18","P17022"
"11375-49","FOXL2","forkhead box L2","A0A8B0SX42"
"11377-19","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","A0A0C4DG85"
"11378-37","SYK","spleen associated tyrosine kinase","A8K4G2"
"11380-84","RBM24","RNA binding motif protein 24","H0Y8S7"
"11381-56","PRPS1","phosphoribosyl pyrophosphate synthetase 1","B7ZB02"
"11382-5","BLVRA","biliverdin reductase A","A0A140VJF4"
"11383-41","KRT7","keratin 7","B3KY79"
"11387-3","ATF6B","activating transcription factor 6 beta","A0A1U9X796"
"11388-75","WFDC2","WAP four-disulfide core domain 2","A0A384MTN6"
"11390-24","CA8","carbonic anhydrase 8","A8K0A5"
"11391-69","MVK","mevalonate kinase","B2RDU6"
"11395-5","PTK2B","protein tyrosine kinase 2 beta","D3DST0"
"11396-39","DNAI1","dynein axonemal intermediate chain 1","A0A087WWV9"
"11401-181","RNF146","ring finger protein 146","Q9NTX7"
"11402-17","KMT2C","lysine methyltransferase 2C","A0A7P0TAI3"
"11405-150","CARD9","caspase recruitment domain family member 9","Q5SXM5"
"11406-82","ACAD8","acyl-CoA dehydrogenase family member 8","B7Z5W4"
"11407-57","PLSCR3","phospholipid scramblase 3","A8K252"
"11416-23","FBXL4","F-box and leucine rich repeat protein 4","B2R7Q5"
"11421-10","EHD4","EH domain containing 4","A8K9B9"
"11422-2","DLX3","distal-less homeobox 3","B2R870"
"11424-4","FAH","fumarylacetoacetate hydrolase","A0A384P5L6"
"11425-31","RUFY1","RUN and FYVE domain containing 1","A8K7B1"
"11428-31","PDLIM1","PDZ and LIM domain 1","B2RBS6"
"11429-80","HNRNPC","heterogeneous nuclear ribonucleoprotein C","A8K9A4"
"11430-49","DTX1","deltex E3 ubiquitin ligase 1","O60630"
"11431-235","RECQL","RecQ like helicase","A8K6G2"
"11432-11","PQBP1","polyglutamine binding protein 1","A0A0S2Z4V5"
"11433-11","TCTN2","tectonic family member 2","A0A7P0T886"
"11436-6","INA","internexin neuronal intermediate filament protein alpha","B1AQK0"
"11438-6","DNAJB2","DnaJ heat shock protein family (Hsp40) member B2","C9JXB9"
"11439-88","RHPN2","rhophilin Rho GTPase binding protein 2","A8MT19"
"11440-58","SOCS3","suppressor of cytokine signaling 3","O14509"
"11441-11","PYGL","glycogen phosphorylase L","B2R825"
"11442-1","DNER","delta/notch like EGF repeat containing","A6NP39"
"11444-49","POLR3F","RNA polymerase III subunit F","Q05DB8"
"11448-34","GALK1","galactokinase 1","B2RC07"
"11449-22","CAPZA1","capping actin protein of muscle Z-line subunit alpha 1","A8K0T9"
"11450-110","P4HB","prolyl 4-hydroxylase subunit beta","A0A024R8S5"
"11454-87","EIF3G","eukaryotic translation initiation factor 3 subunit G","A8K5K5"
"11456-2","MAGEB10","MAGE family member B10","Q494Y6"
"11457-53","GALE","UDP-galactose-4-epimerase","A0A024RAH5"
"11458-30","PCBP1","poly(rC) binding protein 1","Q13157"
"11459-81","ELL","elongation factor for RNA polymerase II","A8KAP0"
"11462-8","RBFOX2","RNA binding fox-1 homolog 2","A4F5G8"
"11464-9","RELB","RELB proto-oncogene, NF-kB subunit","A8K3H9"
"11465-4","GPR135","G protein-coupled receptor 135","Q7Z604"
"11468-15","RBM19","RNA binding motif protein 19","A8K5X9"
"11476-43","VPS4A","vacuolar protein sorting 4 homolog A","A0AAQ5BI89"
"11480-1","ALDH3A1","aldehyde dehydrogenase 3 family member A1","A8K828"
"11481-25","HAVCR2","hepatitis A virus cellular receptor 2","A0A8Q3SJ74"
"11486-26","ZNF174","zinc finger protein 174","Q8IZN5"
"11487-4","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","B3KSW3"
"11490-42","UBL4A","ubiquitin like 4A","P11441"
"11493-169","DYNLL2","dynein light chain LC8-type 2","B2R5B4"
"11494-4","ELL2","elongation factor for RNA polymerase II 2","B4DNK7"
"11510-31","APOL1","apolipoprotein L1","A5PLQ4"
"11510-51","APOL1","apolipoprotein L1","A5PLQ4"
"11513-92","CD38","CD38 molecule","B2R880"
"11514-196","CD59","CD59 molecule (CD59 blood group)","A0A2U3TZL5"
"11516-7","FABP1","fatty acid binding protein 1","P07148"
"11530-37","HMBS","hydroxymethylbilane synthase","A0A3B3IRR1"
"11531-24","VSIR","V-set immunoregulatory receptor","A1L0X9"
"11534-6","LRIT3","leucine rich repeat, Ig-like and transmembrane domains 3","C9J1C2"
"11536-9","MYSM1","Myb like, SWIRM and MPN domains 1","A0A8V8TKW8"
"11537-12","TFR2","transferrin receptor 2","Q9UP52"
"11538-216","MLYCD","malonyl-CoA decarboxylase","O95822"
"11539-4","ATP5MF","ATP synthase membrane subunit f","Q53FE1"
"11540-37","FOXO3","forkhead box O3","Q68DV3"
"11542-11","TMEM230","transmembrane protein 230","B2RDM8"
"11543-84","LIMA1","LIM domain and actin binding 1","Q53GG0"
"11544-39","PHF3","PHD finger protein 3","B3KP41"
"11545-9","TNFRSF14","TNF receptor superfamily member 14","F6UPZ7"
"11546-7","CYGB","cytoglobin","A0A1K0FUB6"
"11547-84","MUSK","muscle associated receptor tyrosine kinase","O15146"
"11548-84","CDC25A","cell division cycle 25A","A8K3D9"
"11549-6","ISL1","ISL LIM homeobox 1","A8K3X7"
"11551-16","HMG20B","high mobility group 20B","A6NMS5"
"11556-19","ARFGAP1","ARF GTPase activating protein 1","Q8N6T3"
"11557-3","SMURF1","SMAD specific E3 ubiquitin protein ligase 1","Q9HCE7"
"11560-76","NFATC4","nuclear factor of activated T cells 4","Q14934"
"11561-32",NA,NA,NA
"11562-9","POLE2","DNA polymerase epsilon 2, accessory subunit","Q86SY9"
"11563-51","SYTL4","synaptotagmin like 4","A8K973"
"11565-58","ZNF23","zinc finger protein 23","P17027"
"11566-48","KRT72","keratin 72","B4DEI8"
"11567-23","ZNF10","zinc finger protein 10","B2RBS1"
"11568-2","FKBP1B","FKBP prolyl isomerase 1B","F8W6G9"
"11570-94","BCAP29","B cell receptor associated protein 29","E9PAJ1"
"11571-75","KLRC3","killer cell lectin like receptor C3","F5H6K3"
"11572-4","DNM2","dynamin 2","A8K1B6"
"11573-3","SRSF6","serine and arginine rich splicing factor 6","B7Z6J3"
"11582-63","DNAJA2","DnaJ heat shock protein family (Hsp40) member A2","B2R7L7"
"11586-2","LRRN1","leucine rich repeat neuronal 1","A8K6Q2"
"11587-5","MGA","MAX dimerization protein MGA","A0A8C8P5L8"
"11590-5","RBM23","RNA binding motif protein 23","A0A0S2Z5D9"
"11591-43","PRC1","protein regulator of cytokinesis 1","O43663"
"11592-1","ELAVL1","ELAV like RNA binding protein 1","B4DVB8"
"11593-21","CXCL9","C-X-C motif chemokine ligand 9","B2R4J7"
"11596-47","ZNF75D","zinc finger protein 75D","P51815"
"11601-26","DHX8","DEAH-box helicase 8","B7Z8F4"
"11602-12","CPNE1","copine 1","F2Z2V0"
"11606-22","DNAJB6","DnaJ heat shock protein family (Hsp40) member B6","B4DMJ9"
"11607-15","BRD1","bromodomain containing 1","Q86X06"
"11608-5","MAP1LC3B","microtubule associated protein 1 light chain 3 beta","Q658J6"
"11614-29","ERH","ERH mRNA splicing and mitosis factor","B2R5H2"
"11615-16","DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides 1","J3KNB3"
"11616-9","HSF1","heat shock transcription factor 1","A8K4L0"
"11617-1","ITGAL","integrin subunit alpha L","B2RAL6"
"11618-83","MYB","MYB proto-oncogene, transcription factor","Q708J0"
"11626-7","UBE2V1","ubiquitin conjugating enzyme E2 V1","E1P629"
"11629-36","TRAF4","TNF receptor associated factor 4","B4DUU9"
"11633-89","AHSA1","activator of HSP90 ATPase activity 1","G3V438"
"11634-32","RGS10","regulator of G protein signaling 10","A8K408"
"11636-33","TAGLN2","transgelin 2","A0A384MTL2"
"11638-42","B3GALT2","beta-1,3-galactosyltransferase 2","B2RAB1"
"11643-73","DTX3L","deltex E3 ubiquitin ligase 3L","B3KWH6"
"11645-9","P4HA1","prolyl 4-hydroxylase subunit alpha 1","Q5VSQ6"
"11646-4","CHST9","carbohydrate sulfotransferase 9","A0A0S2Z5U9"
"11647-6","FZD10","frizzled class receptor 10","Q6NSL8"
"11649-3","SMAP1","small ArfGAP 1","A8K333"
"11651-24","AGO1","argonaute RISC component 1","A0A6I8PTZ8"
"11653-69","SLC6A9","solute carrier family 6 member 9","P48067"
"11654-77","NRSN1","neurensin 1","B2RAV4"
"11656-110","EVL","Enah/Vasp-like","A0A024R6K5"
"11657-86","SOCS7","suppressor of cytokine signaling 7","A0A5F9YLF9"
"11659-31","CLINT1","clathrin interactor 1","A0A0S2Z5H3"
"11661-11","NLRP1","NLR family pyrin domain containing 1","A0A8V8TNN3"
"11664-32","ARFGAP2","ARF GTPase activating protein 2","G5E9L0"
"11666-72","RGS8","regulator of G protein signaling 8","B4DGL9"
"11667-29","TNS2","tensin 2","A7E2A6"
"11669-39","SLCO5A1","solute carrier organic anion transporter family member 5A1","Q9H2Y9"
"11670-18","GPR101","G protein-coupled receptor 101","Q5JSM8"
"11671-19","BRPF1","bromodomain and PHD finger containing 1","A0A5F9ZH11"
"11672-17","KIF16B","kinesin family member 16B","A0A1B0GTU3"
"11677-17","ZDHHC14","zinc finger DHHC-type palmitoyltransferase 14","A4FVA9"
"11678-105","GJD2","gap junction protein delta 2","B7ZLG3"
"11681-8","AGFG1","ArfGAP with FG repeats 1","A0A0S2Z3Z1"
"11682-7","TXNIP","thioredoxin interacting protein","B1ALI9"
"11683-19","GGA3","golgi associated, gamma adaptin ear containing, ARF binding protein 3","J3KSS7"
"11690-47","ANAPC7","anaphase promoting complex subunit 7","B3KMP2"
"11692-21","SHC4","SHC adaptor protein 4","Q6S5L8"
"11696-7","CRABP2","cellular retinoic acid binding protein 2","B2R4Z8"
"11699-16","PTP4A2","protein tyrosine phosphatase 4A2","Q12974"
"11708-2","LCN1","lipocalin 1","P31025"
"11709-29","CPT1B","carnitine palmitoyltransferase 1B","A5PLL0"
"11712-207","UNC45A","unc-45 myosin chaperone A","A0A1W2PNX8"
"11715-1","POU2F1","POU class 2 homeobox 1","A0A0P0GE07"
"11716-28","LRIT2","leucine rich repeat, Ig-like and transmembrane domains 2","A6NDA9"
"11814-29","MET","MET proto-oncogene, receptor tyrosine kinase","A1L467"
"11816-84","JAK2","Janus kinase 2","A8K910"
"11817-1","RPS6KB1","ribosomal protein S6 kinase B1","B4DDM0"
"11825-27","PPARGC1A","PPARG coactivator 1 alpha","Q9UBK2"
"11827-7","RORC","RAR related orphan receptor C","B3KUU9"
"11830-48","PTPN11","protein tyrosine phosphatase non-receptor type 11","A0A3G1LBG2"
"11833-83","FXN","frataxin","A0A0S2Z3G4"
"11836-144","DDR1","discoidin domain receptor tyrosine kinase 1","Q08345"
"11837-7","TNFRSF18","TNF receptor superfamily member 18","A8WFP4"
"11838-130","PIEZO1","piezo type mechanosensitive ion channel component 1 (Er blood group)","A6NHT9"
"11851-21","TREM2","triggering receptor expressed on myeloid cells 2","Q9NZC2"
"11860-3",NA,NA,NA
"11872-9","PCDHGB1","protocadherin gamma subfamily B, 1","Q3SY74"
"11890-2",NA,NA,NA
"11895-21",NA,NA,NA
"11910-27","DLX4","distal-less homeobox 4","Q92988"
"11911-13","LRRC4B","leucine rich repeat containing 4B","A0PJJ4"
"11912-45",NA,NA,NA
"11917-8",NA,NA,NA
"11918-54",NA,NA,NA
"11919-84",NA,NA,NA
"11926-23","AAGAB","alpha and gamma adaptin binding protein","Q6PD74"
"11927-3",NA,NA,NA
"11934-9","INTS3","integrator complex subunit 3","A8K1W0"
"11939-11",NA,NA,NA
"11949-25","EGF","epidermal growth factor","P01133"
"11952-1","IGDCC3","immunoglobulin superfamily DCC subclass member 3","O95215"
"11955-1","ARHGAP1","Rho GTPase activating protein 1","B4DPZ4"
"11967-23","CRABP1","cellular retinoic acid binding protein 1","F1T0F7"
"11969-5","S100A2","S100 calcium binding protein A2","A6NDF0"
"11986-30",NA,NA,NA
"11988-24","PTPRH","protein tyrosine phosphatase receptor type H","C9JCH2"
"11989-35","EMC1","ER membrane protein complex subunit 1","A0A8I5KW55"
"11993-227",NA,NA,NA
"12001-7","TJP1","tight junction protein 1","A9CQZ8"
"12008-3","CD7","CD7 molecule","P09564"
"12012-33",NA,NA,NA
"12014-19","PTS","6-pyruvoyltetrahydropterin synthase","A0A8E7SLS1"
"12016-60","CBL","Cbl proto-oncogene","A0A0U1RR39"
"12018-84","TPK1","thiamin pyrophosphokinase 1","F5GZG6"
"12020-39","BPGM","bisphosphoglycerate mutase","A0A024R782"
"12022-12","SMAD4","SMAD family member 4","A0A024R274"
"12030-82","DES","desmin","A0A384NPX1"
"12033-3","BUB1","BUB1 mitotic checkpoint serine/threonine kinase","B4DYG2"
"12034-28","CAP1","cyclase associated actin cytoskeleton regulatory protein 1","B2RDY9"
"12041-33","HSPA1L","heat shock protein family A (Hsp70) member 1 like","A0A1U9X7W7"
"12046-51","TARDBP","TAR DNA binding protein","A4GUK4"
"12077-32","MSTN","myostatin","A1C2E8"
"12329-21","RPS6KA1","ribosomal protein S6 kinase A1","E9PGT3"
"12332-7","EEF2K","eukaryotic elongation factor 2 kinase","A0AAG2TFE4"
"12333-87","RPIA","ribose 5-phosphate isomerase A","P49247"
"12334-25","SHMT1","serine hydroxymethyltransferase 1","P34896"
"12338-27","EGFLAM","EGF like, fibronectin type III and laminin G domains","A8K6D7"
"12340-17","AARS1","alanyl-tRNA synthetase 1","A0A6Q8PF33"
"12341-8","DUSP6","dual specificity phosphatase 6","B5BU29"
"12343-14","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","A8K2V4"
"12345-4","ANAPC10","anaphase promoting complex subunit 10","D3DNZ7"
"12347-29","CCM2","CCM2 scaffold protein","A0A0A0MT72"
"12348-46","SARS2","seryl-tRNA synthetase 2, mitochondrial","M0QWZ7"
"12350-86","ETS2","ETS proto-oncogene 2, transcription factor","A0A590UJP9"
"12351-25","STAT1","signal transducer and activator of transcription 1","A0A669KB56"
"12352-70","ARRDC3","arrestin domain containing 3","A8K6T8"
"12355-223","MRRF","mitochondrial ribosome recycling factor","Q96E11"
"12356-65","SRI","sorcin","P30626"
"12357-41","SNAP29","synaptosome associated protein 29","O95721"
"12358-6","IGBP1","immunoglobulin binding protein 1","P78318"
"12361-102","RRAS2","RAS related 2","P62070"
"12363-70","TRIB2","tribbles pseudokinase 2","B2R851"
"12365-108","RUVBL1","RuvB like AAA ATPase 1","B3KRS7"
"12366-16","CRYGD","crystallin gamma D","A0A140CTX7"
"12367-52","MACO1","macoilin 1","Q8N5G2"
"12368-18","KAT2B","lysine acetyltransferase 2B","Q6NSK1"
"12370-30","APOF","apolipoprotein F","B2RC09"
"12372-50","TPM3","tropomyosin 3","A0A0S2Z4I4"
"12373-73","TRA2B","transformer 2 beta homolog","P62995"
"12374-8","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","A0A024R0L6"
"12376-85","CDKN2D","cyclin dependent kinase inhibitor 2D","P55273"
"12378-71","TAPBP","TAP binding protein","A0A0G2JKZ1"
"12381-26","CBR1","carbonyl reductase 1","P16152"
"12382-2","RIGI","RNA sensor RIG-I","A0AAQ5BIF4"
"12384-92","COPS7B","COP9 signalosome subunit 7B","J3KQ34"
"12385-4","CAPN3","calpain 3","A6H8K6"
"12386-11","RNPEP","arginyl aminopeptidase","Q9H4A4"
"12387-7","PDLIM4","PDZ and LIM domain 4","A0A0S2Z4N4"
"12389-4","ORC6","origin recognition complex subunit 6","B3KMP9"
"12391-27","PDZD7","PDZ domain containing 7","D5FJ77"
"12392-30","ARL1","ARF like GTPase 1","B4DR16"
"12394-53","C16orf54","chromosome 16 open reading frame 54","A6NJR6"
"12395-86","DARS2","aspartyl-tRNA synthetase 2, mitochondrial","A0A3B3ISK7"
"12396-19","HIBCH","3-hydroxyisobutyryl-CoA hydrolase","A0A140VJL0"
"12398-15","PAX4","paired box 4","A0A1W2PPX4"
"12399-194","CCDC50","coiled-coil domain containing 50","Q86VH7"
"12400-25","UBE2T","ubiquitin conjugating enzyme E2 T","A0A8V8TN93"
"12401-3","STAMBPL1","STAM binding protein like 1","B3KPA7"
"12403-30","RAB39B","RAB39B, member RAS oncogene family","Q5JT79"
"12406-119","DIRAS3","DIRAS family GTPase 3","B3KMP3"
"12408-333","RAB22A","RAB22A, member RAS oncogene family","B3KR86"
"12409-90","RAB7B","RAB7B, member RAS oncogene family","Q96AH8"
"12411-60","MAX","MYC associated factor X","P61244"
"12414-31","YWHAB","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta","A8K9K2"
